Original,Furigana,English,JLPT Level
売り出す,うりだす,"to put on sale, to market",N1
潤う,うるおう,to be moist; to profit by,N1
浮気,うわき,"affair, to cheat",N1
上回る,うわまわる,to exceed,N1
植わる,うわる,to be planted,N1
運営,うんえい,"management, administration, operation",N1
うんざり,うんざり,"tedious, boring, being fed up with",N1
運送,うんそう,"shipping, freight",N1
運賃,うんちん,"freight rates, shipping expenses, (passenger) fare",N1
云々,うんぬん,"and so on, and so forth",N1
運搬,うんぱん,"transport, carriage",N1
運命,うんめい,fate,N1
運輸,うんゆ,transportation,N1
運用,うんよう,"making use of, application, practical use",N1
エアメール,エアメール,air mail,N1
～営,～えい,~ run,N1
英字,えいじ,English letter (character),N1
映写,えいしゃ,projection,N1
映像,えいぞう,"reflection, image",N1
英雄,えいゆう,"hero, great man",N1
液,えき,"liquid, fluid",N1
閲覧,えつらん,"inspection, reference, browse",N1
獲物,えもの,"game, spoils, trophy",N1
襟,えり,"neck, collar",N1
エレガント,エレガント,elegant,N1
円滑,えんかつ,"harmony, smoothness",N1
縁側,えんがわ,"veranda, porch, balcony, open corridor",N1
沿岸,えんがん,"coast, shore",N1
婉曲,えんきょく,"euphemistic, indirect, insinuating",N1
演出,えんしゅつ,"production (erg. play, direction)",N1
エンジニア,エンジニア,engineer,N1
演じる,えんじる,"to perform, to play (a part), to act",N1
演ずる,えんずる,"to perform, to play (a part), to act",N1
沿線,えんせん,along railway line,N1
縁談,えんだん,marriage proposal,N1
遠方,えんぽう,"long way, distant place",N1
円満,えんまん,"harmony, peace, smoothness",N1
追い込む,おいこむ,"to herd, to corner, to drive",N1
追い出す,おいだす,"to expel, to drive out",N1
於いて,おいて,"at, in, on",N1
老いる,おいる,"to age, to grow old",N1
応急,おうきゅう,emergency,N1
黄金,おうごん,gold,N1
往診,おうしん,"doctor's visit, house call",N1
応募,おうぼ,"subscription, application",N1
おおい (かん),おおい (かん),hey,N1
大方,おおかた,"almost all, majority",N1
大柄,おおがら,"large build, large pattern",N1
おおげさ,おおげさ,"grandiose, exaggerated",N1
大筋,おおすじ,"outline, summary",N1
大空,おおぞら,"heaven, the sky",N1
オートマチック,オートマチック,automatic,N1
大幅,おおはば,"full width, large scale, drastic",N1
おおまかな,おおまかな,"rough, approximate",N1
大水,おおみず,flood,N1
公,おおやけ,public,N1
犯す,おかす,"to perpetrate, to violate",N1
侵す,おかす,"to invade, to raid, to trespass",N1
臆病,おくびょう,"cowardice, timidity",N1
遅らす,おくらす,"to retard, to delay",N1
厳か,おごそか,"majestic, dignified",N1
行い,おこない,"conduct, behavior, action",N1
おごる (ゆうしょくを～),おごる (ゆうしょくを～),to give (someone) a treat,N1
収まる,おさまる,to settle into; to be obtained,N1
納まる,おさまる,to settle into; to be obtained,N1
治まる,おさまる,"to be at peace, to calm down",N1
お産,おさん,(giving) birth,N1
押し切る,おしきる,to have one's own way,N1
押し込む,おしこむ,"to push into, to crowd into",N1
惜しむ,おしむ,"to be frugal, to value, to regret",N1
押し寄せる,おしよせる,"to push aside, to advance on",N1
雄,おす,male (animal),N1
御世辞,おせじ,"flattery, compliment",N1
襲う,おそう,to attack,N1
遅くとも,おそくとも,at the latest,N1
恐れ,おそれ,"fear, horror",N1
恐れ入る,おそれいる,"to be filled with awe, to feel small",N1
おだてる,おだてる,to flatter,N1
落ち込む,おちこむ,to get depressed,N1
落ち着き,おちつき,"calm, composure",N1
落葉,おちば,fallen leaves,N1
乙,おつ,2nd in rank,N1
お使い,おつかい,errand,N1
おっかない,おっかない,"frightening, scary",N1
お手上げ,おてあげ,"given in, given up hope",N1
おどおど,おどおど,"coweringly, hesitantly",N1
脅す,おどす,"to threaten, to menace",N1
訪れる,おとずれる,to visit,N1
お供,おとも,"attendant, companion",N1
衰える,おとろえる,"to become weak, to decline",N1
同い年,おないどし,of the same age,N1
自ずから,おのずから,"naturally, as a matter of course",N1
怯える,おびえる,to become frightened,N1
おびただしい,おびただしい,"abundantly, innumerably",N1
脅かす,おびやかす,"to threaten, to coerce",N1
帯びる,おびる,"to bear, to carry, to be entrusted",N1
お袋,おふくろ,mother,N1
覚え,おぼえ,"memory, sense, experience",N1
おまけ,おまけ,a discount; something additional,N1
お宮,おみや,Shinto shrine,N1
おむつ,おむつ,"diaper, nappy",N1
思い付き,おもいつき,"plan, idea, suggestion",N1
趣,おもむき,"flavor, appearance, quaint",N1
赴く,おもむく,"to go, to proceed",N1
重んじる,おもんじる,"to respect, to honor, to esteem, to prize",N1
重んずる,おもんずる,"to honor, to respect, to value",N1
親父,おやじ,"one's father, old man, one's boss",N1
及び,および,"and, as well as",N1
及ぶ,およぶ,"to reach, to extend",N1
折,おり,"chance, occasion",N1
檻,おり,"cage, pen, jail cell",N1
オリエンテーション,オリエンテーション,orientation,N1
折り返す,おりかえす,"to turn up, to fold back",N1
織物,おりもの,"textile, fabric",N1
俺,おれ,I (ego) (boastful first-person pronoun),N1
愚か,おろか,"foolish, stupid",N1
おろそか,おろそか,"neglect, negligence, carelessness",N1
おんぶ,おんぶ,carrying on one's back (erg. Baby),N1
オンライン,オンライン,on-line,N1
温和,おんわ,"gentle, mild, moderate",N1
我,が～,ego,N1
カーペット,カーペット,carpet,N1
～界,～かい,"world, circle, kingdom",N1
～街,～がい,town,N1
改悪,かいあく,"deterioration, changing for the worse",N1
海運,かいうん,marine transportation,N1
外貨,がいか,foreign money,N1
改革,かいかく,"reform, reformation, innovation",N1
貝殻,かいがら,shell,N1
外観,がいかん,"appearance, exterior, facade",N1
階級,かいきゅう,"class, rank, grade",N1
海峡,かいきょう,channel,N1
会見,かいけん,"interview, conference",N1
介護,かいご,nursing,N1
開催,かいさい,"holding a meeting, open an exhibition",N1
回収,かいしゅう,"collection, recovery",N1
改修,かいしゅう,"repair, improvement",N1
怪獣,かいじゅう,monster,N1
解除,かいじょ,"cancellation, release, cancel",N1
外相,がいしょう,Foreign Minister,N1
害する,がいする,"to harm, to offend",N1
概説,がいせつ,"general statement, outline",N1
回送,かいそう,forwarding,N1
階層,かいそう,"class, level, stratum, hierarchy",N1
開拓,かいたく,"cultivation, pioneer",N1
会談,かいだん,"conversation, interview",N1
改定,かいてい,reform,N1
改訂,かいてい,revision,N1
ガイド,ガイド,guide,N1
街道,かいどう,highway,N1
該当,がいとう,"corresponding, answering to, coming under",N1
街頭,がいとう,in the street,N1
ガイドブック,ガイドブック,guidebook,N1
介入,かいにゅう,intervention,N1
概念,がいねん,"general idea, concept, notion",N1
開発,かいはつ,"development, exploitation",N1
海抜,かいばつ,height above sea level,N1
介抱,かいほう,"nursing, looking after",N1
解剖,かいぼう,"dissection, autopsy",N1
外来,がいらい,"(abbr.) imported, outpatient clinic",N1
回覧,かいらん,circulation,N1
概略,がいりゃく,"outline, summary, gist",N1
海流,かいりゅう,ocean current,N1
改良,かいりょう,"improvement, reform",N1
回路,かいろ,circuit (electric),N1
海路,かいろ,sea route,N1
省みる,かえりみる,to reflect,N1
顧みる,かえりみる,"to look back, to turn around, to review",N1
顔付き,かおつき,facial expression,N1
課外,かがい,extracurricular,N1
掲げる,かかげる,"to hoist, to fly (a sail), to float (a flag)",N1
かかと,かかと,shoe heel,N1
書き取る,かきとる,"to write down, to take dictation",N1
掻き回す,かきまわす,"to stir up, to churn, to disturb",N1
かく (はじを),かく (はじを),to humiliate oneself,N1
～画,～かく,~ strokes,N1
学芸,がくげい,"arts and sciences, liberal arts",N1
格差,かくさ,"difference, disparity",N1
拡散,かくさん,"scattering, diffusion",N1
学士,がくし,university graduate,N1
各種,かくしゅ,"every kind, all sorts",N1
隔週,かくしゅう,every other week,N1
確信,かくしん,"conviction, confidence",N1
革新,かくしん,"reform, innovation",N1
学説,がくせつ,theory,N1
確定,かくてい,"fixed, decision",N1
カクテル,カクテル,cocktail,N1
獲得,かくとく,"acquisition, possession",N1
楽譜,がくふ,"score (music, sheet music)",N1
確保,かくほ,"guarantee, insure, secure",N1
革命,かくめい,revolution,N1
確立,かくりつ,establishment,N1
賭,かけ,"betting, gambling, a gamble",N1
掛～,かけ～,credit,N1
～掛け,～かけ,"rack, hanger",N1
崖,がけ,cliff,N1
駆け足,かけあし,"running fast, double time",N1
家計,かけい,"household economy, family finances",N1
駆けっこ,かけっこ,(foot) race,N1
加工,かこう,"manufacturing, processing, treatment",N1
化合,かごう,chemical combination,N1
かさばる,かさばる,to be bulky,N1
かさむ,かさむ,"to pile up, to increase",N1
箇条書,かじょうがき,"itemized form, itemization",N1
頭,かしら,"head, chief",N1
微か,かすか,"faint, dim, weak",N1
霞む,かすむ,"to grow hazy, to be misty",N1
擦る,かする,"to rub, to chafe",N1
火星,かせい,Mars,N1
化石,かせき,"fossil, petrifaction, fossilization",N1
河川,かせん,rivers,N1
化繊,かせん,synthetic fibers,N1
過疎,かそ,depopulation,N1
片～,かた～,single ~,N1
片言,かたこと,"broken (in reference to speaking style, e.g., Japanese)",N1
傾ける,かたむける,"to incline, to tilt, to bend",N1
固める,かためる,"to harden, to freeze, to fortify",N1
傍ら,かたわら,"beside(s, while, nearby",N1
花壇,かだん,flower bed,N1
家畜,かちく,"domestic animals, livestock, cattle",N1
且つ,かつ,"yet, and",N1
がっくり,がっくり,heartbroken,N1
合唱,がっしょう,"chorus, singing in a chorus",N1
がっしり,がっしり,"firmly, solidly, tough",N1
合致,がっち,"agreement, concurrence, conforming to",N1
がっちり,がっちり,"solidly built, tightly",N1
かつて,かつて,"once, before, formerly",N1
勝手,かって,"kitchen; one's way, selfishness",N1
カット,カット,"cut, cutting",N1
活発,かっぱつ,"vigor, active",N1
合併,がっぺい,"combination, amalgamation, merger",N1
カテゴリー,カテゴリー,category,N1
叶う,かなう,to come true,N1
叶える,かなえる,"to grant (request, wish)",N1
金槌,かなづち,(iron) hammer,N1
かなわない,かなわない,"be beyond one's power, be unable",N1
加入,かにゅう,"becoming a member, admission",N1
予て,かねて,"previously, already, lately",N1
庇う,かばう,"to protect someone, to&nbsp;&nbsp;cover up for someone",N1
株式,かぶしき,stock,N1
かぶれる,かぶれる,to react to; to be influenced by,N1
花粉,かふん,pollen,N1
貨幣,かへい,"money, currency, coinage",N1
構える,かまえる,to set up,N1
過密,かみつ,crowded,N1
噛み切る,かみきる,"to bite off, to gnaw through",N1
カムバック,カムバック,comeback,N1
カメラマン,カメラマン,cameraman,N1
粥,かゆ,rice porridge,N1
体付き,からだつき,"body build, figure",N1
絡む,からむ,"to entangle, to entwine",N1
かりに,かりに,"temporarily; if, for argument's sake",N1
カルテ,カルテ,clinical records (GER: Karte),N1
ガレージ,ガレージ,garage (at house),N1
過労,かろう,"overwork, strain",N1
かろうじて,かろうじて,"barely, narrowly",N1
交す,かわす,to exchange,N1
代る代る,かわるがわる,alternately,N1
簡易,かんい,"simplicity, easiness, quasi-",N1
灌漑,かんがい,irrigation,N1
眼科,がんか,ophthalmology,N1
眼球,がんきゅう,eyeball,N1
玩具,がんぐ,toy,N1
簡潔,かんけつ,"brevity, concise, simple",N1
還元,かんげん,"resolution, reduction, return",N1
看護,かんご,nursing,N1
漢語,かんご,"Chinese word, Sino-Japanese word",N1
頑固,がんこ,"stubbornness, obstinacy",N1
勧告,かんこく,"advice, counsel",N1
換算,かんさん,"conversion, change, exchange",N1
監視,かんし,"observation, guarding, surveillance",N1
慣習,かんしゅう,usual (historical) custom,N1
観衆,かんしゅう,"spectators, audience",N1
願書,がんしょ,application form,N1
干渉,かんしょう,"interference, intervention",N1
頑丈,がんじょう,"solid, firm, strong",N1
感触,かんしょく,"sense of touch, feeling, sensation",N1
肝心,かんじん,"essential, fundamental, crucial",N1
肝腎,かんじん,"essential, fundamental, crucial",N1
関税,かんぜい,"customs, duty, tariff",N1
岩石,がんせき,rock,N1
感染,かんせん,"infection, contagion",N1
幹線,かんせん,"main line, trunk line",N1
簡素,かんそ,"simplicity, plain",N1
観点,かんてん,point of view,N1
感度,かんど,"sensitivity, severity (quake)",N1
カンニング,カンニング,"cunning, cheat",N1
元年,がんねん,first year (of a specific reign),N1
幹部,かんぶ,"management, executive",N1
完ぺき,かんぺき,"perfection, completeness, flawless",N1
勘弁,かんべん,"pardon, forgiveness, forbearance",N1
